Team,Repository,Branch (if not the default),Source
Observability,https://github.com/canonical/loki-k8s-operator,,manual
Observability,https://github.com/canonical/prometheus-k8s-operator,,manual
Observability,https://github.com/canonical/prometheus-pushgateway-k8s-operator,,manual
Observability,https://github.com/canonical/prometheus-scrape-config-k8s-operator,,manual
Observability,https://github.com/canonical/prometheus-scrape-target-k8s-operator,,manual
Observability,https://github.com/canonical/traefik-k8s-operator,,manual
OpenStack,https://opendev.org/openstack/sunbeam-charms,,manual
Telco,https://github.com/canonical/manual-tls-certificates-operator,,manual
Telco,https://github.com/canonical/self-signed-certificates-operator,,manual
Telco,https://github.com/canonical/tls-certificates-requirer-operator,,manual
Telco,https://github.com/canonical/vault-k8s-operator,,manual
,https://github.com/canonical/airbyte-k8s-operator,,manual
,https://opendev.org/openstack/charm-aodh,,auto
,https://github.com/canonical/aproxy-operator,,manual
,https://opendev.org/openstack/charm-barbican,,auto
,https://opendev.org/openstack/charm-barbican-vault,,auto
,https://github.com/charmed-kubernetes/layer-calico,,auto
,https://git.launchpad.net/cassandra-charm,,auto
,https://opendev.org/openstack/charm-ceilometer,,auto
,https://opendev.org/openstack/charm-ceilometer-agent,,auto
,https://github.com/canonical/charm-ubuntu,,manual
,https://github.com/charmed-kubernetes/charm-cilium,,auto
,https://opendev.org/openstack/charm-cinder,,auto
,https://opendev.org/openstack/charm-cinder-backup,,auto
,https://opendev.org/openstack/charm-cinder-backup-swift-proxy,,auto
,https://opendev.org/openstack/charm-cinder-ceph,,auto
,https://github.com/dell-esg/powerflex-cinder-charm,,auto
,https://opendev.org/openstack/charm-cinder-lvm,,auto
,https://opendev.org/openstack/charm-cinder-netapp,,auto
,https://github.com/dell-esg/powermax-cinder-charm,,auto
,https://github.com/dell-esg/powerstore-cinder-charm,,auto
,https://opendev.org/openstack/charm-cinder-purestorage,,auto
,https://github.com/canonical/conserver-charm,,manual
,https://github.com/juju-solutions/charm-flannel,,auto
,https://github.com/kubernetes/kubernetes,,auto
,https://opendev.org/openstack/charm-designate-bind,,auto
,https://github.com/canonical/digest-squid-auth-helper,,manual
,https://github.com/battlemidget/juju-charm-dokuwiki.rb,,auto
,https://github.com/canonical/charmed-etcd-operator,,manual
,https://git.launchpad.net/charm-ganglia-node,,auto
,https://github.com/battlemidget/charm-layer-ghost,,auto
,https://github.com/panagiotisl/bigtop,,auto
,https://opendev.org/openstack/charm-glance,,auto
,https://opendev.org/openstack/charm-glance-simplestreams-sync,,auto
,https://opendev.org/openstack/charm-gnocchi,,auto
,https://opendev.org/openstack/charm-hacluster,,auto
,https://opendev.org/openstack/charm-heat,,auto
,https://github.com/juju/hello-juju-charm,,auto
,https://github.com/canonical/httprequest-lego-provider,,manual
,https://git.launchpad.net/influxdb-charm,,auto
,https://opendev.org/openstack/charm-ironic-api,,auto
,https://opendev.org/openstack/charm-ironic-conductor,,auto
,https://github.com/jenkinsci/jenkins-charm,,auto
,https://github.com/canonical/jimm,,manual
,https://github.com/canonical/juju-dashboard,,auto
,https://github.com/canonical/k8s-operator,,manual
,https://opendev.org/openstack/charm-keystone,,auto
,https://opendev.org/openstack/charm-keystone-kerberos,,auto
,https://opendev.org/openstack/charm-keystone-ldap,,auto
,https://opendev.org/openstack/charm-keystone-saml-mellon,,auto
,https://git.launchpad.net/kibana-charm,,auto
,https://github.com/davigar15/ecosystem-prep,,auto
,https://github.com/charmed-kubernetes/charm-kube-ovn,,auto
,https://github.com/charmed-kubernetes/charm-kubeapi-load-balancer,,auto
,https://github.com/charmed-kubernetes/charm-kubernetes-control-plane,,auto
,https://github.com/charmed-kubernetes/bundle,,auto
,https://github.com/charmed-kubernetes/charm-kubernetes-worker,,auto
,https://github.com/vladklokun/ks-charmed,,auto
,https://github.com/canonical/kyuubi-k8s-operator,,manual
